Server name,RuleType,Current Server IP,Azure Server IP,Source server name,Source IP,Destination server name,Destination IP,Destination port
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.247.108,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.27,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,84.201.222.66,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.247.108,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.17,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,23.198.74.242,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.17,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.247.108,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.28,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.24,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,84.201.222.66,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.247.108,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,23.51.25.70,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.253.175.208,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.247.108,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,52.182.141.63,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.25,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.247.108,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.247.108,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.17,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.190.155.130,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,146.75.78.172,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.64.180.106,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,84.201.222.68,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,23.63.78.201,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.64.180.106,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.64.180.106,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.89.179.8,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,151.101.162.172,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.79.197.34,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.64.180.106,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,84.201.222.66,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,52.178.17.233,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.50.80.214,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.247.108,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.240.146,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.64.180.106,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.17,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,146.75.78.172,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.64.180.106,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.64.180.106,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,146.75.78.172,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.25,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,4.236.248.221,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,40.83.247.108,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,146.75.78.172,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.64.180.106,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,13.64.180.106,443
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,146.75.78.172,80
vm1,Outbound,192.168.0.51,10.200.0.52,vm1,192.168.0.51,,20.189.173.9,443
